precinct,county,area_km2,perimeter_km,shape_complexity,longitude,latitude,precinct_political,total_votes_sum,avg_votes_per_contest,num_contests,dem_pct,rep_pct,other_pct,precinct_flippable,dem_votes,oppo_votes,dem_margin,dva_pct_needed,total_votes,dem_vote_pct,competitiveness,flippability_score,comprehensive_cluster
012,FORSYTH,342.538578858299,95.1438181190964,1450.176615951759,-80.0794288627353,36.03656492382717,12,169756,681.7510040160643,249,33.33333333333333,30.923694779116467,35.7429718875502,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
013,FORSYTH,130.54900165655002,60.988100628730706,1505.7518266349055,-80.12477836272717,36.10067134451046,13,248656,1002.6451612903226,248,33.46774193548387,31.048387096774192,35.483870967741936,13,6078.0,8191.0,-301.85714285714283,0.7542231528571428,14269.0,42.59583712944144,92.59583712944143,1321.2499999999998,0
014,FORSYTH,139.232964490329,64.3810015217757,1539.1528871657572,-80.06283229297375,36.08948451560122,14,141856,665.9906103286385,213,37.08920187793427,35.68075117370892,27.230046948356808,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
015,FORSYTH,192.729815142971,56.3189123924878,1144.3921625940627,-80.08930555665921,36.06230657967775,15,220164,887.758064516129,248,33.46774193548387,31.048387096774192,35.483870967741936,15,9856.0,12953.0,-281.54545454545456,0.4504659718181818,22809.0,43.211013196545224,93.21101319654522,2126.05,0
016,FORSYTH,42.327417866499296,30.4622268797428,1320.8266668538708,-80.12073239351663,36.08432509996602,16,102689,666.8116883116883,154,31.818181818181817,29.87012987012987,38.311688311688314,16,11717.0,12643.0,-66.14285714285714,0.21021383885714284,24360.0,48.09934318555008,98.09934318555008,2389.7,2
017,FORSYTH,80.28881488052049,42.4685783150496,1337.0118823995422,-80.12751346031376,36.06397900694038,17,73950,471.0191082802548,157,31.84713375796178,29.29936305732484,38.853503184713375,17,5923.0,7820.0,-172.45454545454547,0.9576101854545453,13743.0,43.09830459142837,93.09830459142836,1279.45,1
021,FORSYTH,848.8850804172929,134.112776768428,1298.4964666063809,-80.0866355671823,36.22058999826913,21,234187,1142.3756097560977,205,39.02439024390244,37.5609756097561,23.414634146341466,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
031,FORSYTH,247.619771407532,71.7414243893016,1286.0930873577895,-80.27218450966646,36.238866533982865,31,125656,500.6215139442231,251,33.46613545816733,30.677290836653388,35.85657370517929,31,780.0,801.0,-21.0,-1.0476191,1581.0,49.33586337760911,99.33586337760912,157.05,0
032,FORSYTH,237.711605973264,99.4135170487971,1818.9271835157076,-80.32282725010306,36.214173475634745,32,200459,747.9813432835821,268,32.08955223880597,28.73134328358209,39.17910447761194,32,10806.0,13211.0,-200.41666666666666,0.624085095,24017.0,44.993129866344674,94.99312986634467,2281.45,2
033,FORSYTH,157.821003847726,82.86112737343099,1860.6449351281244,-80.2604845061185,36.202568454232214,33,142626,589.3636363636364,242,34.710743801652896,31.818181818181817,33.47107438016529,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
034,FORSYTH,156.09980644275,60.7233199369275,1371.0376891901865,-80.30537996231824,36.2312946337065,34,137045,643.4037558685446,213,37.558685446009385,35.68075117370892,26.76056338028169,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
042,FORSYTH,214.102638446709,85.6494130186625,1651.2333417396758,-80.22137846606341,36.01851218246105,42,210375,891.4194915254237,236,35.16949152542373,32.6271186440678,32.20338983050847,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
043,FORSYTH,253.927378949538,92.358397202368,1634.9959851792369,-80.1649444605739,36.05110148349496,43,159840,652.4081632653061,245,34.69387755102041,31.428571428571427,33.87755102040816,43,18275.0,21019.0,-119.30434782608695,0.7113827082608696,39294.0,46.508372779559224,96.50837277955922,3792.2,2
051,FORSYTH,103.119587402278,44.487178790929,1235.8317539561217,-80.36993175048391,36.0232963986113,51,192875,914.0995260663507,211,38.388625592417064,36.492890995260666,25.118483412322274,51,13107.0,16037.0,-195.33333333333334,0.6287635073333334,29144.0,44.973236343672795,94.9732363436728,2767.9,2
052,FORSYTH,48.5590984847942,37.9679339522528,1537.01011546915,-80.40044819288867,36.0181762823251,52,81312,385.3649289099526,211,38.388625592417064,36.492890995260666,25.118483412322274,52,13680.0,15356.0,-54.064516129032256,-1.6500278222903224,29036.0,47.11392753822841,97.11392753822841,2819.8,2
053,FORSYTH,135.45894385005798,53.3386031067654,1292.8045237373556,-80.36931656424817,35.993089458104606,53,181072,883.2780487804878,205,39.51219512195122,37.5609756097561,22.926829268292686,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
054,FORSYTH,101.97464294613201,51.7438451810468,1445.4652990326604,-80.40061077818166,35.99849457540652,54,179380,850.1421800947867,211,38.388625592417064,36.492890995260666,25.118483412322274,54,4889.0,5458.0,-113.8,0.336614916,10347.0,47.25041074707645,97.25041074707644,1006.25,2
055,FORSYTH,129.41816018044202,54.5553102404645,1352.8027799095478,-80.41536436736598,36.033871172579275,55,248046,1175.5734597156397,211,38.388625592417064,36.492890995260666,25.118483412322274,55,20517.0,24052.0,-207.94117647058823,0.38377010411764706,44569.0,46.03423904507618,96.03423904507618,4280.15,2
061,FORSYTH,84.7932243726684,46.207169772537,1415.5455907396768,-80.05598492195443,36.119798033701905,61,131695,618.2863849765258,213,37.08920187793427,35.68075117370892,27.230046948356808,61,932.0,1344.0,-206.0,0.911878885,2276.0,40.94903339191564,90.94903339191563,206.99999999999997,0
062,FORSYTH,69.97268327416471,37.0076392817685,1248.0218420667059,-80.07582116141214,36.15742328929042,62,123898,576.2697674418605,215,37.2093023255814,35.81395348837209,26.976744186046513,62,1450.0,1471.0,-7.0,-0.348170584,2921.0,49.640534063676824,99.64053406367682,291.05,0
063,FORSYTH,235.049624842393,82.0095852127311,1508.9675557986607,-80.12225921708269,36.138611219309155,63,239583,943.2401574803149,254,32.677165354330704,30.314960629921263,37.00787401574803,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
064,FORSYTH,31.0418558406076,31.790534684886502,1609.604069957626,-80.07929148345198,36.12850885490265,64,79368,372.61971830985914,213,37.08920187793427,35.68075117370892,27.230046948356808,64,1960.0,2207.0,-61.75,-6.4325396,4167.0,47.03623710103192,97.03623710103193,404.3500000000001,3
065,FORSYTH,97.77105190690149,51.027255903991204,1455.7678971163568,-80.10300773550252,36.11942117003736,65,263285,1236.0798122065728,213,37.08920187793427,35.68075117370892,27.230046948356808,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
066,FORSYTH,150.95159187155,73.1056588963819,1678.5226851272098,-80.05564030351879,36.156123231093446,66,146715,688.8028169014085,213,37.08920187793427,35.68075117370892,27.230046948356808,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
067,FORSYTH,47.110054255261694,31.1262490333418,1279.2783602451589,-80.07624578943849,36.104246748373534,67,106205,498.61502347417843,213,37.08920187793427,35.68075117370892,27.230046948356808,67,13062.0,15492.0,-101.25,-2.8072876720833335,28554.0,45.74490439167892,95.74490439167892,2733.8999999999996,3
068,FORSYTH,104.159315118136,52.079602114418705,1439.5066243758877,-80.10788970577157,36.16461306202578,68,172541,825.555023923445,209,37.79904306220095,36.36363636363637,25.837320574162682,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
071,FORSYTH,83.43877170623631,39.0273841972256,1205.2594924606249,-80.40048624705952,36.090595739051786,71,244083,972.4422310756972,251,33.86454183266932,31.872509960159363,34.26294820717131,71,17126.0,20118.0,-176.0,0.3368154308529412,37244.0,45.98324562345613,95.98324562345613,3574.8,2
073,FORSYTH,502.154082891052,100.962086722271,1270.9687927278067,-80.46508094971549,36.07322566563128,73,223169,1023.7110091743119,218,37.61467889908257,35.321100917431195,27.06422018348624,73,1337.0,1398.0,-61.0,-1.0163934,2735.0,48.88482632541133,98.88482632541132,270.45,2
074,FORSYTH,86.22070462193949,66.95662630346361,2034.1494011847592,-80.37056265680714,36.09160621078919,74,234441,934.0278884462151,251,33.86454183266932,31.872509960159363,34.26294820717131,74,5103.0,5388.0,-71.25,0.2812843975,10491.0,48.64169287961109,98.6416928796111,1034.85,2
075,FORSYTH,116.31903665268301,67.82047522942739,1773.9055735182967,-80.46521364252956,36.10554155949393,75,49950,229.12844036697248,218,37.61467889908257,35.321100917431195,27.06422018348624,75,272.0,351.0,-79.0,-1.0126582,623.0,43.659711075441415,93.65971107544141,58.35,2
076,FORSYTH,124.303647532775,62.623134361188804,1584.48427129968,-80.3996058677656,36.0626256199138,76,113380,760.9395973154362,149,33.557046979865774,31.543624161073826,34.899328859060404,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
077,FORSYTH,57.086972967324506,33.7436591030283,1259.8496954559266,-80.37918563084192,36.056573848188364,77,100981,731.7463768115942,138,36.231884057971016,34.05797101449276,29.71014492753623,77,18274.0,19846.0,-74.85714285714286,0.2802531388095238,38120.0,47.938090241343126,97.93809024134313,3733.4,2
081,FORSYTH,188.28059441924302,68.28737832852339,1403.8888582324557,-80.23166796026415,36.1743111219274,81,188018,796.6864406779661,236,34.74576271186441,28.389830508474578,36.86440677966102,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
083,FORSYTH,117.617500177891,53.3869478853314,1388.6544451999769,-80.1883528413636,36.16303880512047,83,117840,501.4468085106383,235,34.8936170212766,28.085106382978726,37.02127659574468,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
084,FORSYTH,117.04920183622501,54.294432185615904,1415.6833858724383,-80.17900972859914,36.138234044208815,84,80971,519.0448717948718,156,32.05128205128205,25.0,42.94871794871795,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
085,FORSYTH,121.758085771382,62.6891663724264,1602.6498855516734,-80.15949183347365,36.13663927984434,85,74820,467.625,160,31.874999999999996,24.375,43.75,85,7334.0,8837.0,-125.25,-3.5885090783333333,16171.0,45.35279203512461,95.35279203512461,1541.95,3
091,FORSYTH,509.372903146509,118.61135916763999,1482.52979855074,-80.41274025486472,36.222320310294556,91,133505,635.7380952380952,210,38.095238095238095,36.666666666666664,25.238095238095237,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
092,FORSYTH,325.858939282228,99.52002606623421,1555.2160491770724,-80.36519787802496,36.22512730005431,92,115681,448.3759689922481,258,32.55813953488372,30.23255813953488,37.2093023255814,92,67.0,92.0,-25.0,0.07323944,159.0,42.138364779874216,92.13836477987422,14.650000000000002,0
101,FORSYTH,101.771310019677,55.043038543512,1539.1636061149043,-80.32555556539467,36.18275252016988,101,133819,552.9710743801653,242,34.710743801652896,31.818181818181817,33.47107438016529,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
111,FORSYTH,510.163639576584,105.08579485708,1312.4547239182145,-80.20737369571674,36.219316528352714,111,112767,454.7056451612903,248,33.87096774193548,31.048387096774192,35.08064516129033,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
112,FORSYTH,409.827509872166,109.438003491243,1524.9748307497216,-80.15329681159393,36.211261852468134,112,189449,893.627358490566,212,37.735849056603776,36.32075471698113,25.943396226415093,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
121,FORSYTH,186.06705524879501,73.7275189126925,1524.7194661981437,-80.30257475759196,36.0092635078266,121,106927,694.3311688311688,154,33.116883116883116,29.22077922077922,37.66233766233766,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
123,FORSYTH,73.88293487963641,46.6115111409959,1529.7349232052047,-80.35326255557116,36.06569308795348,123,195874,793.0121457489879,247,35.22267206477733,32.388663967611336,32.388663967611336,123,774.0,860.0,-86.0,0.12850812,1634.0,47.368421052631575,97.36842105263158,159.1,2
124,FORSYTH,70.23632737117579,42.932834701744,1445.1194128618524,-80.27648982914992,36.02346083717161,124,104668,679.6623376623377,154,33.116883116883116,29.22077922077922,37.66233766233766,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
131,FORSYTH,165.226677894139,59.5394599075461,1306.6518067962497,-80.37554983679767,36.13413411296583,131,228925,912.0517928286853,251,33.86454183266932,31.872509960159363,34.26294820717131,131,28336.0,30185.0,-84.04545454545455,0.24609117077272727,58521.0,48.42022521829771,98.4202252182977,5759.65,2
132,FORSYTH,269.606225690342,71.0197082378693,1220.1381137213255,-80.38324218249281,36.164908242030364,132,295027,1143.515503875969,258,34.10852713178294,30.620155038759687,35.27131782945737,132,37415.0,39726.0,-100.47826086956522,0.34135044560869565,77141.0,48.50209356891925,98.50209356891925,7598.55,2
134,FORSYTH,292.42737264498504,97.2439752350129,1604.1639816830802,-80.42937928430766,36.13688517405873,134,131093,916.7342657342657,143,34.96503496503497,32.86713286713287,32.16783216783217,134,1367.0,1403.0,-36.0,0.42045453,2770.0,49.35018050541517,99.35018050541517,275.2,2
135,FORSYTH,109.77774424399,51.8787967105984,1396.779367203506,-80.38204562764896,36.11173261662893,135,131719,784.0416666666666,168,30.952380952380953,28.57142857142857,40.476190476190474,135,21163.0,24081.0,-145.9,0.34291751649999996,45244.0,46.77526301830077,96.77526301830076,4378.5,2
202,FORSYTH,24.0992392163865,21.9738932991636,1262.7006760956242,-80.28645125730141,36.1578048542165,202,59762,406.5442176870748,147,34.69387755102041,25.850340136054424,39.455782312925166,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
203,FORSYTH,15.1400716683392,17.2758800668243,1252.4813937190072,-80.24909840676628,36.1156760850702,203,79706,336.3122362869198,237,36.28691983122363,27.848101265822784,35.86497890295359,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
